Stream Name,Vapour Fraction,Temperature C,Pressure kPa,Molar Flow kgmole/h,Mass Flow kg/h,Liquid Volume Flow m3/h,Heat Flow kJ/h,Methane,Ethane,Propane,i-Butane,n-Butane,i-Pentane,n-Pentane,n-Hexane,Nitrogen,CO2,H2O,H2S,MDEAmine
Sour LPG Feed,0.999453382,35,6991.285714,1245.177056,23447.86663,67.67171062,-106213663.2,0.851740996,0.013568792,0.005487379,0.001596328,0.001297017,0.000498853,0.000299312,0.000698394,0.074728125,0.046093984,0.001696099,0.002294722,0
V1,1,35,6991.285714,1244.49642,23435.58574,67.65937005,-106019854.7,0.852206274,0.013576205,0.005490378,0.001597201,0.001297726,0.000499125,0.000299475,0.000698776,0.074768968,0.046118632,0.001151346,0.002295895,0
L1,0,35,6991.285714,0.680635586,12.28089179,0.012340566,-193808.4701,0.001011524,1.50E-05,3.74E-06,9.95E-07,6.59E-07,8.95E-08,7.36E-08,8.73E-08,4.99E-05,0.001027281,0.99773981,0.000150808,0
MDEA,0,43.76593658,7032.654269,863.7390316,23733.22743,23.49389723,-260069635.1,1.67E-59,1.88E-55,5.54E-56,2.89E-52,3.54E-56,5.71E-37,2.30E-56,6.15E-56,1.01E-68,0.003879222,0.901904541,0.001982033,0.092234205
LPG,0.999995875,49.00301012,7071.926437,1217.494393,22283.63667,66.17396986,-95886288.91,0.870038075,0.013853225,0.005604399,0.0016297,0.001324931,0.000500405,0.000305782,0.000713581,0.076388314,0.027440199,0.002031101,0.000169948,3.40E-07
MDEA 1,0,50.97272223,7092.610714,890.7410588,24885.17649,24.97929742,-270203913.7,0.001460783,3.29E-05,1.06E-05,4.00E-06,2.15E-06,1.34E-05,4.58E-07,9.46E-07,5.32E-05,0.030689972,0.873396527,0.004897361,0.089437741
TREATED LPG,1,49.00301012,7071.926437,1217.489371,22283.5106,66.17384248,-95884777.45,0.87004166,0.013853282,0.005604422,0.001629707,0.001324936,0.000500407,0.000305783,0.000713584,0.076388627,0.027440136,0.002027412,0.000169946,9.75E-08
LV-101,0,49.00301012,7071.926437,0.005022049,0.126078191,0.00012738,-1511.458971,0.000906573,1.32E-05,3.59E-06,1.02E-06,6.77E-07,0.000128263,8.34E-08,1.01E-07,0.00049667,0.04268989,0.896198436,0.000647187,0.058914334
LV-101A,0.001419652,49.82485782,866.6432586,0.005022049,0.126078191,0.00012738,-1511.458975,0.000906573,1.32E-05,3.59E-06,1.02E-06,6.77E-07,0.000128263,8.34E-08,1.01E-07,0.00049667,0.04268989,0.896198436,0.000647187,0.058914334
MDEA 2,0.001497685,52.01165517,887.3275359,890.7410588,24885.17649,24.97929742,-270203913.5,0.001460783,3.29E-05,1.06E-05,4.00E-06,2.15E-06,1.34E-05,4.58E-07,9.46E-07,5.32E-05,0.030689972,0.873396527,0.004897361,0.089437741
